battle_tag,turn,my_pokemon,my_hp_fraction,my_status,opp_pokemon,opp_hp_fraction,opp_status,branch,candidates,chosen_action,chosen_score,we_move_first
battle-gen9ubers-10534,6,kyogre,0.40691489361702127,,ogerponwellspring,1.0,,general_scoring,"[('switch', 'eternatus', 255.0), ('switch', 'koraidon', 65.0), ('switch', 'arceusghost', 65.0), ('switch', 'zaciancrowned', 35.0), ('move', 'waterfall', 30.0)]",switch:eternatus,255.0,False
battle-gen9ubers-10534,7,eternatus,0.5938242280285035,,ogerponwellspring,1.0,,general_scoring,"[('move', 'sludgebomb', 270.0), ('move', 'dynamaxcannon', 150.0), ('move', 'meteorbeam', 120.0), ('move', 'fireblast', 110.0), ('switch', 'koraidon', 65.0), ('switch', 'arceusghost', 65.0), ('switch', 'zaciancrowned', 35.0), ('switch', 'kyogre', -60.0)]",move:sludgebomb,270.0,True
battle-gen9ubers-10534,8,eternatus,0.5938242280285035,,darkrai,1.0,,general_scoring,"[('switch', 'zaciancrowned', 185.0), ('move', 'dynamaxcannon', 150.0), ('move', 'sludgebomb', 135.0), ('move', 'meteorbeam', 120.0), ('move', 'fireblast', 110.0), ('switch', 'koraidon', 65.0), ('switch', 'kyogre', 35.0), ('switch', 'arceusghost', 15.0)]",switch:zaciancrowned,185.0,False
battle-gen9ubers-10534,9,zaciancrowned,0.7353846153846154,,darkrai,1.0,,general_scoring,"[('move', 'closecombat', 240.0), ('move', 'behemothblade', 150.0), ('move', 'swordsdance', 110.0), ('move', 'wildcharge', 90.0), ('switch', 'koraidon', 65.0), ('switch', 'eternatus', 65.0), ('switch', 'kyogre', 35.0), ('switch', 'arceusghost', 15.0)]",move:closecombat,240.0,True
battle-gen9ubers-10534,10,zaciancrowned,0.5784615384615385,,garganacl,1.0,,general_scoring,"[('move', 'behemothblade', 300.0), ('move', 'closecombat', 240.0), ('switch', 'kyogre', 155.0), ('move', 'swordsdance', 110.0), ('move', 'wildcharge', 90.0), ('switch', 'arceusghost', 75.0), ('switch', 'eternatus', 65.0), ('switch', 'koraidon', 63.75)]",move:behemothblade,300.0,True
battle-gen9ubers-10534,11,zaciancrowned,0.5784615384615385,,dragonite,1.0,,general_scoring,"[('switch', 'eternatus', 195.0), ('move', 'behemothblade', 150.0), ('move', 'swordsdance', 110.0), ('switch', 'koraidon', 92.5), ('move', 'wildcharge', 90.0), ('switch', 'arceusghost', 75.0), ('move', 'closecombat', 60.0), ('switch', 'kyogre', 0.0)]",switch:eternatus,195.0,True
battle-gen9ubers-10534,11,eternatus,0,FNT,dragonite,1.0,,forced_switch,[],switch:zaciancrowned,,True
battle-gen9ubers-10534,12,zaciancrowned,0.4553846153846154,,dragonite,1.0,,general_scoring,"[('move', 'behemothblade', 150.0), ('move', 'swordsdance', 110.0), ('switch', 'koraidon', 92.5), ('move', 'wildcharge', 90.0), ('switch', 'arceusghost', 75.0), ('move', 'closecombat', 60.0), ('switch', 'kyogre', 0.0)]",move:behemothblade,150.0,True
battle-gen9ubers-10534,12,zaciancrowned,0,FNT,dragonite,0.69,,forced_switch,[],switch:koraidon,,True
battle-gen9ubers-10534,13,koraidon,0.8768328445747801,,dragonite,0.69,,general_scoring,"[('move', 'scaleshot', 237.5), ('move', 'swordsdance', 110.0), ('switch', 'arceusghost', 75.0), ('move', 'flareblitz', 60.0), ('move', 'taunt', 10.0), ('switch', 'kyogre', 0.0)]",move:scaleshot,237.5,True
